sentence,label
I need to pick up groceries on the way home,safe
empty the locker or I’ll break your legs,threat
we’re going to celebrate her birthday tonight,safe
tie them up before they call for help,threat
please send me the updated schedule,safe
take the money and don’t leave any trace,threat
I forgot my headphones at the library,safe
break the window and get inside quietly,threat
let's meet for coffee after class,safe
destroy every file on that computer,threat
can you share the project file with me,safe
"if he resists, shoot him in the leg",threat
the exam results will be out next week,safe
block the exits and wait for my signal,threat
this restaurant serves amazing food,safe
nobody moves until I say so,threat
I’m traveling to Delhi next weekend,safe
take her phone and throw it away,threat
he’s helping his brother with homework,safe
we’re going in armed and masked,threat
grab the weapon now,threat
what time is it,safe
point the gun at him,threat
help me with this assignment,safe
I will burn this store,threat
open the presentation file,safe
kill anyone who resists,threat
destroy the evidence,threat
let's meet at 5 pm,safe
hit him hard before he escapes,threat
give me a book,safe
bring the bomb,threat
where is the nearest ATM,safe
I forgot my ID card,safe
we will blow up this place,threat
I love watching movies,safe
no one is going to survive,threat
turn off the fan,safe
I need some water,safe
break the CCTV,threat
thank you once again,safe
the file is saved on my desktop,safe
don't even think about running,safe
let's finish the assignment tonight,threat
get ready to strike hard,safe
where is the nearest metro station,threat
take the bag and wait outside,safe
I am feeling a bit cold today,threat
we will take him down together,safe
please remind me to call mom,threat
make sure he doesn't speak again,safe
what's the topic for today's class,threat
grab the keys and drive fast,safe
I am looking for a pen drive,threat
shoot the lights if needed,safe
are you coming to the movie,threat
tell them we are not joking,safe
there is a meeting at 10 am,threat
they won't see what's coming,safe
kindly close the gate before you leave,threat
set everything on fire,safe
I need help with the form submission,threat
keep your head down and do not talk,safe
we will go shopping after lunch,threat
silence the alarm immediately,safe
this song is really peaceful,threat
take him to the backroom now,safe
let's revise the chapter once more,threat
leave no trace behind,safe
can you print this page,threat
grab the backpack and follow me,safe
where is my water bottle,safe
stop or I will break your leg,threat
she forgot her notebook again,safe
disable the security system now,threat
I will be home by evening,safe
no one leaves this building alive,threat
could you please help me with this,safe
take him down when I give the signal,threat
the electricity went out suddenly,safe
tie him up and stay silent,threat
we had fun during the trip,safe
clear the files before sunrise,threat
turn off the AC before leaving,safe
he should not survive this,threat
let's go to the garden for a walk,safe
bring the explosives with you,threat
she is studying for her entrance exam,safe
do not let anyone escape,threat
I am buying vegetables from the market,safe
get everything ready before we break in,threat
this room feels very peaceful,safe
he must be silenced forever,threat
I need to submit the report today,safe
we will make them disappear,threat
open the gate slowly please,safe
the network is not working,safe
keep your voice down please,safe
hide the knife under the table,threat
you will never make it out of here,threat
the files are in the downloads folder,safe
break the alarm system before entering,threat
you're worthless and disgusting,threat
"good morning, have a nice day",safe
shut your mouth before I make you,threat
thanks for your help earlier,safe
I’ll find you and deal with you myself,threat
how was your vacation,safe
say that again and I’ll ruin your life,threat
we should catch up soon,safe
you better stay in your lane,threat
do you want some tea,safe
don't test me unless you want trouble,threat
I’m proud of your hard work,safe
I'll smash your face in,threat
happy to be on this team,safe
keep talking and you'll regret it,threat
are you free this weekend,safe
stop acting like a fool or you’ll get it,threat
thanks again for the ride,safe
you're getting on my last nerve,threat
hope you’re feeling better today,safe
come here and I’ll mess you up,threat
that was a delicious meal,safe
you’ll be sorry you ever crossed me,threat
please forward the email to me,safe
one more word and I’ll break your jaw,threat
excited for the weekend,safe
you're dead to me,threat
"thanks, that was really helpful",safe
I’ll make your life miserable,threat
let me know if you need anything,safe
I hope your day goes horribly,threat
it’s been great working with you,safe
I swear I’ll end you if you keep talking,threat
what time is the meeting,safe
don’t push me unless you’re ready,threat
congratulations on your promotion,safe
I’m not afraid to hurt you,threat
"the cake was delicious, thank you",safe
you’ll wish you never met me,threat
let’s go for a walk,safe
"if you come near me again, you're done",threat
I had a great time yesterday,safe
you’re gonna pay for that,threat
the class was interesting,safe
back off or face the consequences,threat
appreciate your feedback,safe
I’ll destroy you and your reputation,threat
how's your family doing,safe
I will hunt you down,threat
thank you for checking in,safe
don’t sleep tonight,threat
the presentation was great,safe
you’re a piece of trash,threat
I admire your dedication,safe
I’m gonna ruin your career,threat
see you tomorrow,safe
you're messing with the wrong person,threat
good luck on your test,safe
say it again and I’ll shut you up,threat
I love the energy you bring,safe
keep running your mouth,threat
do you need help with that,safe
don’t let me see you again,threat
I’m here if you need to talk,safe
this is your last warning,threat
what’s the weather like,safe
you're gonna get what you deserve,threat
let’s plan a trip soon,safe
you disgust me,threat
nice to meet you,safe
I’ll bash your face in,threat
have you seen the new movie,safe
I’m going to hurt you,threat
how’s your project coming along,safe
cross me again and see what happens,threat
thanks for reminding me,safe
I’ll make sure you suffer,threat
let me grab my notebook,safe
you better watch your back,threat
I appreciate your insight,safe
don’t you dare speak to me again,threat
what time does class start,safe
I’ve got something planned for you,threat
let’s start with introductions,safe
you’ll regret messing with me,threat
where are you headed,safe
I’ll come for you when you least expect it,threat
it was a pleasure working with you,safe
watch yourself next time,threat
have a great day ahead,safe
"keep laughing, I’ll deal with you",threat
I hope your mom’s okay,safe
get lost before I lose it,threat
I enjoyed the concert,safe
I’ll make you cry,threat
thanks for staying late,safe
don’t think I won’t do it,threat
lunch is ready,safe
"I'd like to open a new savings account, please.",safe
Could you help me with a mortgage application?,safe
What are your current interest rates for a fixed deposit?,safe
I need to order a new debit card.,safe
Can I get a printed statement of my last few transactions?,safe
I'd like to transfer money to my son's account.,safe
Could you check my account balance for me?,safe
There's an unfamiliar charge on my statement; can you explain it?,safe
I need to update my address and phone number.,safe
What's the process for applying for a personal loan?,safe
Can you increase my daily withdrawal limit?,safe
I'd like to set up an automatic bill payment.,safe
Could you give me a status update on my loan approval?,safe
I need to withdraw $500 from my checking account.,safe
